customer_id,signup_date,region,segment,acquisition_channel,country_age_days
C00001,2024-10-16,North America,Startup,Partner,76
C00002,2023-04-25,Europe,SMB,Organic Search,616
C00003,2023-01-26,North America,Startup,Referral,705
C00004,2023-10-09,Asia Pacific,SMB,Social,449
C00005,2023-09-08,Latin America,SMB,Organic Search,480
C00006,2023-08-17,North America,SMB,Referral,502
C00007,2023-05-23,Europe,SMB,Referral,588
C00008,2023-04-15,North America,SMB,Paid Ads,626
C00009,2024-11-23,Europe,Enterprise,Organic Search,38
C00010,2024-07-12,Europe,Mid-Market,Organic Search,172
C00011,2023-03-31,Europe,SMB,Organic Search,641
C00012,2024-08-27,Middle East & Africa,Startup,Direct,126
C00013,2024-03-08,North America,SMB,Referral,298
C00014,2023-02-02,Europe,SMB,Paid Ads,698
C00015,2023-01-31,North America,Startup,Organic Search,700
C00016,2023-04-06,Asia Pacific,SMB,Referral,635
C00017,2023-08-12,Europe,SMB,Social,507
C00018,2023-08-27,Asia Pacific,Startup,Direct,492
C00019,2024-06-01,Europe,Startup,Organic Search,213
C00020,2024-09-08,North America,SMB,Paid Ads,114
C00021,2023-01-28,North America,SMB,Direct,703
C00022,2024-07-28,North America,SMB,Referral,156
C00023,2023-07-23,North America,Enterprise,Organic Search,527
C00024,2024-10-27,Middle East & Africa,Enterprise,Organic Search,65
C00025,2024-07-12,North America,Enterprise,Partner,172
C00026,2024-03-05,Asia Pacific,Enterprise,Organic Search,301
C00027,2023-08-14,North America,SMB,Direct,505
C00028,2024-04-04,Europe,SMB,Organic Search,271
C00029,2024-08-26,North America,SMB,Partner,127
C00030,2023-10-12,Europe,Startup,Paid Ads,446
C00031,2023-01-07,North America,Mid-Market,Partner,724
C00032,2023-06-13,Europe,Enterprise,Paid Ads,567
C00033,2024-03-08,Europe,SMB,Organic Search,298
C00034,2023-12-15,North America,SMB,Referral,382
C00035,2023-10-12,North America,Mid-Market,Direct,446
C00036,2023-06-09,North America,SMB,Partner,571
C00037,2023-08-09,North America,SMB,Organic Search,510
C00038,2023-12-11,North America,Startup,Direct,386
C00039,2023-04-15,Europe,Startup,Direct,626
C00040,2023-04-05,North America,Startup,Referral,636
C00041,2024-01-25,Asia Pacific,Startup,Paid Ads,341
C00042,2023-04-10,North America,SMB,Paid Ads,631
C00043,2024-01-03,Asia Pacific,Startup,Organic Search,363
C00044,2023-12-19,Europe,SMB,Organic Search,378
C00045,2024-09-10,North America,SMB,Social,112
C00046,2023-09-28,North America,Mid-Market,Partner,460
C00047,2023-02-14,North America,Startup,Social,686
C00048,2024-04-15,North America,Mid-Market,Paid Ads,260
C00049,2024-07-03,North America,SMB,Referral,181
C00050,2023-05-08,Europe,SMB,Organic Search,603
C00051,2024-01-23,Latin America,SMB,Organic Search,343
C00052,2023-03-22,Europe,Startup,Organic Search,650
C00053,2024-07-19,Asia Pacific,Enterprise,Organic Search,165
C00054,2023-10-28,Asia Pacific,SMB,Referral,430
C00055,2024-10-05,Europe,Mid-Market,Organic Search,87
C00056,2024-09-25,Latin America,SMB,Organic Search,97
C00057,2024-01-06,North America,Mid-Market,Referral,360
C00058,2024-08-14,North America,Mid-Market,Organic Search,139
C00059,2023-07-16,Europe,SMB,Referral,534
C00060,2023-03-13,North America,Startup,Organic Search,659
C00061,2023-02-16,North America,SMB,Social,684
C00062,2024-11-08,Latin America,SMB,Referral,53
C00063,2023-08-22,Asia Pacific,Mid-Market,Referral,497
C00064,2023-10-24,North America,SMB,Direct,434
C00065,2023-03-23,Latin America,Mid-Market,Paid Ads,649
C00066,2023-08-27,North America,Mid-Market,Direct,492
C00067,2023-04-14,Latin America,Enterprise,Referral,627
C00068,2024-01-25,North America,SMB,Direct,341
C00069,2023-10-12,Europe,SMB,Organic Search,446
C00070,2024-04-09,Asia Pacific,SMB,Organic Search,266
C00071,2024-10-12,Europe,Mid-Market,Referral,80
C00072,2024-01-09,North America,Mid-Market,Organic Search,357
C00073,2023-06-16,North America,Mid-Market,Referral,564
C00074,2024-01-15,Latin America,Mid-Market,Referral,351
C00075,2023-12-30,North America,SMB,Organic Search,367
C00076,2023-08-03,North America,Startup,Paid Ads,516
C00077,2024-11-17,Latin America,Mid-Market,Partner,44
C00078,2023-10-01,Europe,Mid-Market,Paid Ads,457
C00079,2024-11-30,North America,Mid-Market,Organic Search,31
C00080,2024-10-25,North America,Mid-Market,Organic Search,67
C00081,2023-03-15,Middle East & Africa,Startup,Direct,657
C00082,2024-09-15,North America,SMB,Social,107
C00083,2024-10-12,Europe,Startup,Social,80
C00084,2023-06-25,Latin America,SMB,Paid Ads,555
C00085,2024-06-30,Latin America,SMB,Organic Search,184
C00086,2023-09-08,Europe,Startup,Referral,480
C00087,2023-06-17,Europe,SMB,Referral,563
C00088,2024-04-18,Middle East & Africa,SMB,Paid Ads,257
C00089,2024-01-24,Latin America,Mid-Market,Referral,342
C00090,2023-10-04,Asia Pacific,SMB,Organic Search,454
C00091,2024-10-17,Asia Pacific,Enterprise,Direct,75
C00092,2024-07-24,Latin America,Mid-Market,Paid Ads,160
C00093,2023-08-13,Asia Pacific,Mid-Market,Partner,506
C00094,2023-11-29,Asia Pacific,Startup,Paid Ads,398
C00095,2023-02-27,North America,SMB,Referral,673
C00096,2023-08-23,North America,Mid-Market,Referral,496
C00097,2023-02-02,North America,Mid-Market,Organic Search,698
C00098,2023-11-20,North America,Enterprise,Paid Ads,407
C00099,2024-02-15,North America,Mid-Market,Partner,320
C00100,2023-10-02,North America,Mid-Market,Organic Search,456
C00101,2023-03-09,North America,Mid-Market,Referral,663
C00102,2023-08-05,Europe,Mid-Market,Social,514
C00103,2024-08-03,Europe,SMB,Partner,150
C00104,2023-11-19,North America,SMB,Organic Search,408
C00105,2023-08-06,North America,Startup,Direct,513
C00106,2024-11-02,Asia Pacific,SMB,Organic Search,59
C00107,2024-05-26,North America,SMB,Referral,219
C00108,2024-02-10,Asia Pacific,Mid-Market,Organic Search,325
C00109,2024-10-20,Middle East & Africa,Mid-Market,Referral,72
C00110,2024-04-14,Europe,SMB,Organic Search,261
C00111,2023-05-27,North America,Enterprise,Organic Search,584
C00112,2023-09-29,North America,SMB,Organic Search,459
C00113,2023-05-23,Latin America,Mid-Market,Paid Ads,588
C00114,2023-09-10,North America,Mid-Market,Paid Ads,478
C00115,2024-07-28,North America,SMB,Paid Ads,156
C00116,2024-07-05,Europe,Mid-Market,Organic Search,179
C00117,2023-09-27,North America,Mid-Market,Paid Ads,461
C00118,2024-08-21,Latin America,Mid-Market,Organic Search,132
C00119,2024-03-14,North America,Mid-Market,Organic Search,292
C00120,2024-08-20,Europe,Startup,Referral,133
C00121,2024-02-13,North America,Mid-Market,Paid Ads,322
C00122,2024-01-06,Europe,Startup,Paid Ads,360
C00123,2023-08-13,Middle East & Africa,Startup,Organic Search,506
C00124,2023-05-22,North America,SMB,Organic Search,589
C00125,2024-06-05,North America,Mid-Market,Organic Search,209
C00126,2024-05-20,North America,Enterprise,Organic Search,225
C00127,2023-04-04,Asia Pacific,SMB,Organic Search,637
C00128,2023-02-18,Asia Pacific,Mid-Market,Direct,682
C00129,2023-04-23,Asia Pacific,Enterprise,Organic Search,618
