renewal_id,subscription_id,customer_id,renewal_date,plan_id,renewed,mrr
RN000001,S000002,C00002,2023-05-25,P_BASIC_M,0,19
RN000002,S000002,C00002,2023-06-24,P_BASIC_M,1,19
RN000003,S000002,C00002,2023-07-24,P_BASIC_M,1,19
RN000004,S000002,C00002,2023-08-23,P_BASIC_M,1,19
RN000005,S000002,C00002,2023-09-22,P_BASIC_M,1,19
RN000006,S000002,C00002,2023-10-22,P_BASIC_M,1,19
RN000007,S000002,C00002,2023-11-21,P_BASIC_M,1,19
RN000008,S000002,C00002,2023-12-21,P_BASIC_M,1,19
RN000009,S000002,C00002,2024-01-20,P_BASIC_M,1,19
RN000010,S000002,C00002,2024-02-19,P_BASIC_M,1,19
RN000011,S000002,C00002,2024-03-20,P_BASIC_M,0,19
RN000012,S000002,C00002,2024-04-19,P_BASIC_M,1,19
RN000013,S000002,C00002,2024-05-19,P_BASIC_M,1,19
RN000014,S000002,C00002,2024-06-18,P_BASIC_M,1,19
RN000015,S000002,C00002,2024-07-18,P_BASIC_M,1,19
RN000016,S000002,C00002,2024-08-17,P_BASIC_M,1,19
RN000017,S000002,C00002,2024-09-16,P_BASIC_M,1,19
RN000018,S000002,C00002,2024-10-16,P_BASIC_M,1,19
RN000019,S000002,C00002,2024-11-15,P_BASIC_M,1,19
RN000020,S000002,C00002,2024-12-15,P_BASIC_M,1,19
RN000021,S000003,C00003,2024-01-26,P_PRO_A,1,41
RN000022,S000004,C00004,2024-10-08,P_BASIC_A,0,16
RN000023,S000005,C00005,2023-10-08,P_PRO_M,1,49
RN000024,S000005,C00005,2023-11-07,P_PRO_M,1,49
RN000025,S000005,C00005,2023-12-07,P_PRO_M,1,49
RN000026,S000005,C00005,2024-01-06,P_PRO_M,1,49
RN000027,S000005,C00005,2024-02-05,P_PRO_M,0,49
RN000028,S000005,C00005,2024-03-06,P_PRO_M,1,49
RN000029,S000005,C00005,2024-04-05,P_PRO_M,1,49
RN000030,S000005,C00005,2024-05-05,P_PRO_M,1,49
RN000031,S000005,C00005,2024-06-04,P_PRO_M,1,49
RN000032,S000005,C00005,2024-07-04,P_PRO_M,0,49
RN000033,S000005,C00005,2024-08-03,P_PRO_M,0,49
RN000034,S000005,C00005,2024-09-02,P_PRO_M,0,49
RN000035,S000005,C00005,2024-10-02,P_PRO_M,1,49
RN000036,S000005,C00005,2024-11-01,P_PRO_M,1,49
RN000037,S000005,C00005,2024-12-01,P_PRO_M,1,49
RN000038,S000005,C00005,2024-12-31,P_PRO_M,1,49
RN000039,S000006,C00006,2023-09-16,P_BASIC_M,1,19
RN000040,S000006,C00006,2023-10-16,P_BASIC_M,1,19
RN000041,S000006,C00006,2023-11-15,P_BASIC_M,1,19
RN000042,S000006,C00006,2023-12-15,P_BASIC_M,0,19
RN000043,S000006,C00006,2024-01-14,P_BASIC_M,1,19
RN000044,S000006,C00006,2024-02-13,P_BASIC_M,1,19
RN000045,S000006,C00006,2024-03-14,P_BASIC_M,1,19
RN000046,S000006,C00006,2024-04-13,P_BASIC_M,1,19
RN000047,S000006,C00006,2024-05-13,P_BASIC_M,0,19
RN000048,S000006,C00006,2024-06-12,P_BASIC_M,1,19
RN000049,S000006,C00006,2024-07-12,P_BASIC_M,1,19
RN000050,S000006,C00006,2024-08-11,P_BASIC_M,1,19
RN000051,S000006,C00006,2024-09-10,P_BASIC_M,1,19
RN000052,S000006,C00006,2024-10-10,P_BASIC_M,1,19
RN000053,S000006,C00006,2024-11-09,P_BASIC_M,0,19
RN000054,S000006,C00006,2024-12-09,P_BASIC_M,0,19
RN000055,S000008,C00008,2023-05-15,P_BASIC_M,1,19
RN000056,S000008,C00008,2023-06-14,P_BASIC_M,0,19
RN000057,S000008,C00008,2023-07-14,P_BASIC_M,0,19
RN000058,S000008,C00008,2023-08-13,P_BASIC_M,1,19
RN000059,S000008,C00008,2023-09-12,P_BASIC_M,1,19
RN000060,S000008,C00008,2023-10-12,P_BASIC_M,1,19
RN000061,S000008,C00008,2023-11-11,P_BASIC_M,1,19
RN000062,S000008,C00008,2023-12-11,P_BASIC_M,1,19
RN000063,S000008,C00008,2024-01-10,P_BASIC_M,1,19
RN000064,S000008,C00008,2024-02-09,P_BASIC_M,0,19
RN000065,S000008,C00008,2024-03-10,P_BASIC_M,0,19
RN000066,S000009,C00009,2024-12-23,P_PRO_M,0,49
RN000067,S000010,C00010,2024-08-11,P_BASIC_M,1,19
