subscription_id,customer_id,plan_id,billing_cycle,start_date,status,end_date,cancel_reason,current_monthly_value,mrr,auto_renew
S000001,C00001,P_BASIC_A,Annual,2024-10-16,Active,,,16.0,16,1
S000002,C00002,P_BASIC_M,Monthly,2023-04-25,Active,,,19.0,19,1
S000003,C00003,P_PRO_A,Annual,2023-01-26,Active,,,41.0,41,1
S000004,C00004,P_BASIC_A,Annual,2023-10-09,Active,,,82.0,16,0
S000005,C00005,P_PRO_M,Monthly,2023-09-08,Active,,,49.0,49,0
S000006,C00006,P_BASIC_M,Monthly,2023-08-17,Active,,,19.0,19,1
S000007,C00007,P_BASIC_A,Annual,2023-05-23,Expired,2024-05-17,,16.0,16,0
S000008,C00008,P_BASIC_M,Monthly,2023-04-15,Expired,2024-03-10,,19.0,19,0
S000009,C00009,P_PRO_M,Monthly,2024-11-23,Churned,2024-12-23,Payment Failure,49.0,49,0
S000010,C00010,P_BASIC_M,Monthly,2024-07-12,Active,,,19.0,19,1
S000011,C00011,P_PRO_A,Annual,2023-03-31,Active,,,41.0,41,1
S000012,C00012,P_BASIC_M,Monthly,2024-08-27,Active,,,49.0,19,1
S000013,C00013,P_BASIC_A,Annual,2024-03-08,Expired,2024-12-31,,16.0,16,0
S000014,C00014,P_PRO_A,Annual,2023-02-02,Active,,,41.0,41,1
S000015,C00015,P_PRO_M,Monthly,2023-01-31,Active,,,249.0,49,1
S000016,C00016,P_BUS_M,Monthly,2023-04-06,Expired,2023-05-06,,99.0,99,0
S000017,C00017,P_BASIC_M,Monthly,2023-08-12,Churned,2024-12-31,No Longer Needed,19.0,19,1
S000018,C00018,P_BASIC_A,Annual,2023-08-27,Active,,,16.0,16,1
S000019,C00019,P_PRO_M,Monthly,2024-06-01,Churned,2024-12-28,Switched Competitor,49.0,49,1
S000020,C00020,P_PRO_M,Monthly,2024-09-08,Active,,,49.0,49,1
S000021,C00021,P_BUS_A,Annual,2023-01-28,Expired,2024-07-21,,82.0,82,0
S000022,C00022,P_BASIC_A,Annual,2024-07-28,Active,,,16.0,16,1
S000023,C00023,P_BASIC_M,Monthly,2023-07-23,Active,,,19.0,19,0
S000024,C00024,P_BASIC_M,Monthly,2024-10-27,Active,,,19.0,19,1
S000025,C00025,P_ENT_M,Monthly,2024-07-12,Active,,,249.0,249,1
S000026,C00026,P_PRO_M,Monthly,2024-03-05,Expired,2024-12-31,,49.0,49,0
S000027,C00027,P_BASIC_M,Monthly,2023-08-14,Active,,,19.0,19,1
S000028,C00028,P_PRO_M,Monthly,2024-04-04,Active,,,49.0,49,0
S000029,C00029,P_PRO_A,Annual,2024-08-26,Active,,,41.0,41,1
S000030,C00030,P_PRO_M,Monthly,2023-10-12,Active,,,49.0,49,0
S000031,C00031,P_BASIC_A,Annual,2023-01-07,Active,,,41.0,16,0
S000032,C00032,P_PRO_M,Monthly,2023-06-13,Active,,,49.0,49,0
S000033,C00033,P_PRO_A,Annual,2024-03-08,Expired,2024-12-31,,41.0,41,0
S000034,C00034,P_PRO_A,Annual,2023-12-15,Active,,,41.0,41,1
S000035,C00035,P_BUS_A,Annual,2023-10-12,Active,,,82.0,82,1
S000036,C00036,P_BASIC_M,Monthly,2023-06-09,Expired,2024-12-31,,19.0,19,0
S000037,C00037,P_PRO_M,Monthly,2023-08-09,Active,,,49.0,49,1
S000038,C00038,P_PRO_A,Annual,2023-12-11,Churned,2024-01-10,Too Expensive,41.0,41,1
S000039,C00039,P_BASIC_A,Annual,2023-04-15,Active,,,16.0,16,1
S000040,C00040,P_BUS_M,Monthly,2023-04-05,Active,,,99.0,99,1
S000041,C00041,P_PRO_A,Annual,2024-01-25,Expired,2024-09-21,,41.0,41,0
S000042,C00042,P_BASIC_M,Monthly,2023-04-10,Churned,2023-12-06,Too Expensive,19.0,19,1
S000043,C00043,P_BASIC_M,Monthly,2024-01-03,Active,,,19.0,19,1
S000044,C00044,P_PRO_M,Monthly,2023-12-19,Churned,2024-12-31,Payment Failure,49.0,49,1
S000045,C00045,P_PRO_M,Monthly,2024-09-10,Churned,2024-12-31,Switched Competitor,49.0,49,1
S000046,C00046,P_PRO_M,Monthly,2023-09-28,Active,,,49.0,49,0
S000047,C00047,P_BASIC_M,Monthly,2023-02-14,Churned,2024-03-10,Payment Failure,19.0,19,1
S000048,C00048,P_PRO_M,Monthly,2024-04-15,Churned,2024-05-15,Missing Features,49.0,49,1
S000049,C00049,P_BUS_A,Annual,2024-07-03,Churned,2024-11-30,Poor Support,82.0,82,1
S000050,C00050,P_BASIC_A,Annual,2023-05-08,Churned,2024-12-28,Technical Issues,16.0,16,1
S000051,C00051,P_BASIC_M,Monthly,2024-01-23,Active,,,19.0,19,1
S000052,C00052,P_PRO_M,Monthly,2023-03-22,Active,,,49.0,49,1
S000053,C00053,P_PRO_M,Monthly,2024-07-19,Churned,2024-12-31,Too Expensive,49.0,49,1
S000054,C00054,P_BASIC_A,Annual,2023-10-28,Churned,2024-12-31,Payment Failure,16.0,16,1
S000055,C00055,P_BUS_A,Annual,2024-10-05,Churned,2024-12-31,No Longer Needed,82.0,82,1
S000056,C00056,P_BUS_M,Monthly,2024-09-25,Churned,2024-12-31,Payment Failure,99.0,99,0
S000057,C00057,P_BUS_M,Monthly,2024-01-06,Active,,,99.0,99,1
S000058,C00058,P_ENT_M,Monthly,2024-08-14,Active,,,249.0,249,1
S000059,C00059,P_BASIC_M,Monthly,2023-07-16,Churned,2023-10-14,Switched Competitor,19.0,19,1
S000060,C00060,P_BUS_M,Monthly,2023-03-13,Active,,,99.0,99,1
S000061,C00061,P_ENT_A,Annual,2023-02-16,Active,,,208.0,208,1
S000062,C00062,P_BASIC_M,Monthly,2024-11-08,Churned,2024-12-31,Missing Features,19.0,19,0
S000063,C00063,P_ENT_A,Annual,2023-08-22,Active,,,208.0,208,1
S000064,C00064,P_BASIC_A,Annual,2023-10-24,Active,,,16.0,16,1
S000065,C00065,P_BASIC_A,Annual,2023-03-23,Active,,,16.0,16,1
S000066,C00066,P_PRO_A,Annual,2023-08-27,Churned,2023-09-26,Missing Features,41.0,41,1
