payment_id,subscription_id,customer_id,plan_id,billing_cycle,payment_date,gross_amount,discount_pct,discount_amount,net_amount,status,failure_reason,retry_count,recovered
PAY0000001,S000001,C00001,P_BASIC_A,Annual,2024-10-16,192,0.15,28.8,163.2,Success,,0,0
PAY0000002,S000002,C00002,P_BASIC_M,Monthly,2023-04-25,19,0.0,0.0,19.0,Failed,Insufficient Funds,1,0
PAY0000003,S000002,C00002,P_BASIC_M,Monthly,2023-05-25,19,0.0,0.0,19.0,Success,,0,0
PAY0000004,S000002,C00002,P_BASIC_M,Monthly,2023-06-24,19,0.0,0.0,19.0,Success,,0,0
PAY0000005,S000002,C00002,P_BASIC_M,Monthly,2023-07-24,19,0.1,1.9,17.1,Success,,0,0
PAY0000006,S000002,C00002,P_BASIC_M,Monthly,2023-08-23,19,0.0,0.0,19.0,Success,,0,0
PAY0000007,S000002,C00002,P_BASIC_M,Monthly,2023-09-22,19,0.0,0.0,19.0,Success,,0,0
PAY0000008,S000002,C00002,P_BASIC_M,Monthly,2023-10-22,19,0.1,1.9,17.1,Success,,0,0
PAY0000009,S000002,C00002,P_BASIC_M,Monthly,2023-11-21,19,0.3,5.7,13.3,Success,,0,0
PAY0000010,S000002,C00002,P_BASIC_M,Monthly,2023-12-21,19,0.0,0.0,19.0,Success,,0,0
PAY0000011,S000002,C00002,P_BASIC_M,Monthly,2024-01-20,19,0.0,0.0,19.0,Success,,0,0
PAY0000012,S000002,C00002,P_BASIC_M,Monthly,2024-02-19,19,0.0,0.0,19.0,Success,,0,0
PAY0000013,S000002,C00002,P_BASIC_M,Monthly,2024-03-20,19,0.1,1.9,17.1,Success,,0,0
PAY0000014,S000002,C00002,P_BASIC_M,Monthly,2024-04-19,19,0.0,0.0,19.0,Success,,0,0
PAY0000015,S000002,C00002,P_BASIC_M,Monthly,2024-05-19,19,0.0,0.0,19.0,Success,,0,0
PAY0000016,S000002,C00002,P_BASIC_M,Monthly,2024-06-18,19,0.0,0.0,19.0,Success,,0,0
PAY0000017,S000002,C00002,P_BASIC_M,Monthly,2024-07-18,19,0.0,0.0,19.0,Success,,0,0
PAY0000018,S000002,C00002,P_BASIC_M,Monthly,2024-08-17,19,0.0,0.0,19.0,Success,,0,0
PAY0000019,S000002,C00002,P_BASIC_M,Monthly,2024-09-16,19,0.1,1.9,17.1,Success,,0,0
PAY0000020,S000002,C00002,P_BASIC_M,Monthly,2024-10-16,19,0.5,9.5,9.5,Success,,0,0
PAY0000021,S000002,C00002,P_BASIC_M,Monthly,2024-11-15,19,0.0,0.0,19.0,Success,,0,0
PAY0000022,S000002,C00002,P_BASIC_M,Monthly,2024-12-15,19,0.0,0.0,19.0,Success,,0,0
PAY0000023,S000003,C00003,P_PRO_A,Annual,2023-01-26,492,0.5,246.0,246.0,Success,,0,0
PAY0000024,S000003,C00003,P_PRO_A,Annual,2024-01-26,492,0.0,0.0,492.0,Success,,0,0
PAY0000025,S000004,C00004,P_BASIC_A,Annual,2023-10-09,192,0.0,0.0,192.0,Success,,0,0
PAY0000026,S000004,C00004,P_BASIC_A,Annual,2024-10-08,192,0.0,0.0,192.0,Success,,0,0
PAY0000027,S000005,C00005,P_PRO_M,Monthly,2023-09-08,49,0.0,0.0,49.0,Success,,0,0
PAY0000028,S000005,C00005,P_PRO_M,Monthly,2023-10-08,49,0.0,0.0,49.0,Success,,0,0
PAY0000029,S000005,C00005,P_PRO_M,Monthly,2023-11-07,49,0.0,0.0,49.0,Success,,0,0
PAY0000030,S000005,C00005,P_PRO_M,Monthly,2023-12-07,49,0.0,0.0,49.0,Success,,0,0
PAY0000031,S000005,C00005,P_PRO_M,Monthly,2024-01-06,49,0.5,24.5,24.5,Success,,0,0
PAY0000032,S000005,C00005,P_PRO_M,Monthly,2024-02-05,49,0.0,0.0,49.0,Success,,0,0
PAY0000033,S000005,C00005,P_PRO_M,Monthly,2024-03-06,49,0.3,14.7,34.3,Success,,0,0
PAY0000034,S000005,C00005,P_PRO_M,Monthly,2024-04-05,49,0.1,4.9,44.1,Success,,0,0
PAY0000035,S000005,C00005,P_PRO_M,Monthly,2024-05-05,49,0.25,12.25,36.75,Success,,0,0
PAY0000036,S000005,C00005,P_PRO_M,Monthly,2024-06-04,49,0.15,7.35,41.65,Failed,Card Expired,3,0
PAY0000037,S000005,C00005,P_PRO_M,Monthly,2024-07-04,49,0.0,0.0,49.0,Success,,0,0
PAY0000038,S000005,C00005,P_PRO_M,Monthly,2024-08-03,49,0.0,0.0,49.0,Success,,0,0
PAY0000039,S000005,C00005,P_PRO_M,Monthly,2024-09-02,49,0.0,0.0,49.0,Success,,0,0
PAY0000040,S000005,C00005,P_PRO_M,Monthly,2024-10-02,49,0.15,7.35,41.65,Success,,0,0
PAY0000041,S000005,C00005,P_PRO_M,Monthly,2024-11-01,49,0.0,0.0,49.0,Success,,0,0
PAY0000042,S000005,C00005,P_PRO_M,Monthly,2024-12-01,49,0.0,0.0,49.0,Success,,0,0
PAY0000043,S000005,C00005,P_PRO_M,Monthly,2024-12-31,49,0.0,0.0,49.0,Success,,0,0
PAY0000044,S000006,C00006,P_BASIC_M,Monthly,2023-08-17,19,0.0,0.0,19.0,Success,,0,0
PAY0000045,S000006,C00006,P_BASIC_M,Monthly,2023-09-16,19,0.0,0.0,19.0,Success,,0,0
PAY0000046,S000006,C00006,P_BASIC_M,Monthly,2023-10-16,19,0.0,0.0,19.0,Success,,0,0
PAY0000047,S000006,C00006,P_BASIC_M,Monthly,2023-11-15,19,0.2,3.8,15.2,Success,,0,0
PAY0000048,S000006,C00006,P_BASIC_M,Monthly,2023-12-15,19,0.1,1.9,17.1,Success,,0,0
PAY0000049,S000006,C00006,P_BASIC_M,Monthly,2024-01-14,19,0.1,1.9,17.1,Success,,0,0
PAY0000050,S000006,C00006,P_BASIC_M,Monthly,2024-02-13,19,0.1,1.9,17.1,Success,,0,0
PAY0000051,S000006,C00006,P_BASIC_M,Monthly,2024-03-14,19,0.0,0.0,19.0,Success,,0,0
PAY0000052,S000006,C00006,P_BASIC_M,Monthly,2024-04-13,19,0.0,0.0,19.0,Success,,0,0
PAY0000053,S000006,C00006,P_BASIC_M,Monthly,2024-05-13,19,0.0,0.0,19.0,Success,,0,0
PAY0000054,S000006,C00006,P_BASIC_M,Monthly,2024-06-12,19,0.2,3.8,15.2,Failed,Processing Error,2,0
PAY0000055,S000006,C00006,P_BASIC_M,Monthly,2024-07-12,19,0.3,5.7,13.3,Success,,0,0
PAY0000056,S000006,C00006,P_BASIC_M,Monthly,2024-08-11,19,0.0,0.0,19.0,Success,,0,0
PAY0000057,S000006,C00006,P_BASIC_M,Monthly,2024-09-10,19,0.0,0.0,19.0,Success,,0,0
PAY0000058,S000006,C00006,P_BASIC_M,Monthly,2024-10-10,19,0.2,3.8,15.2,Success,,0,0
PAY0000059,S000006,C00006,P_BASIC_M,Monthly,2024-11-09,19,0.0,0.0,19.0,Success,,0,0
PAY0000060,S000006,C00006,P_BASIC_M,Monthly,2024-12-09,19,0.2,3.8,15.2,Failed,Processing Error,1,0
PAY0000061,S000007,C00007,P_BASIC_A,Annual,2023-05-23,192,0.0,0.0,192.0,Failed,Bank Authentication Failed,1,0
PAY0000062,S000008,C00008,P_BASIC_M,Monthly,2023-04-15,19,0.0,0.0,19.0,Success,,0,0
PAY0000063,S000008,C00008,P_BASIC_M,Monthly,2023-05-15,19,0.1,1.9,17.1,Success,,0,0
PAY0000064,S000008,C00008,P_BASIC_M,Monthly,2023-06-14,19,0.0,0.0,19.0,Success,,0,0
PAY0000065,S000008,C00008,P_BASIC_M,Monthly,2023-07-14,19,0.0,0.0,19.0,Success,,0,0
PAY0000066,S000008,C00008,P_BASIC_M,Monthly,2023-08-13,19,0.3,5.7,13.3,Success,,0,0
PAY0000067,S000008,C00008,P_BASIC_M,Monthly,2023-09-12,19,0.0,0.0,19.0,Success,,0,0
PAY0000068,S000008,C00008,P_BASIC_M,Monthly,2023-10-12,19,0.0,0.0,19.0,Success,,0,0
PAY0000069,S000008,C00008,P_BASIC_M,Monthly,2023-11-11,19,0.0,0.0,19.0,Success,,0,0
PAY0000070,S000008,C00008,P_BASIC_M,Monthly,2023-12-11,19,0.0,0.0,19.0,Success,,0,0
PAY0000071,S000008,C00008,P_BASIC_M,Monthly,2024-01-10,19,0.0,0.0,19.0,Success,,0,0
PAY0000072,S000008,C00008,P_BASIC_M,Monthly,2024-02-09,19,0.0,0.0,19.0,Success,,0,0
PAY0000073,S000008,C00008,P_BASIC_M,Monthly,2024-03-10,19,0.0,0.0,19.0,Success,,0,0
PAY0000074,S000009,C00009,P_PRO_M,Monthly,2024-11-23,49,0.0,0.0,49.0,Success,,0,0
PAY0000075,S000009,C00009,P_PRO_M,Monthly,2024-12-23,49,0.0,0.0,49.0,Failed,Bank Authentication Failed,1,0
PAY0000076,S000010,C00010,P_BASIC_M,Monthly,2024-07-12,19,0.0,0.0,19.0,Success,,0,0
PAY0000077,S000010,C00010,P_BASIC_M,Monthly,2024-08-11,19,0.0,0.0,19.0,Success,,0,0
PAY0000078,S000010,C00010,P_BASIC_M,Monthly,2024-09-10,19,0.0,0.0,19.0,Success,,0,0
PAY0000079,S000010,C00010,P_BASIC_M,Monthly,2024-10-10,19,0.0,0.0,19.0,Success,,0,0
PAY0000080,S000010,C00010,P_BASIC_M,Monthly,2024-11-09,19,0.0,0.0,19.0,Success,,0,0
PAY0000081,S000010,C00010,P_BASIC_M,Monthly,2024-12-09,19,0.0,0.0,19.0,Success,,0,0
PAY0000082,S000011,C00011,P_PRO_A,Annual,2023-03-31,492,0.0,0.0,492.0,Success,,0,0
PAY0000083,S000011,C00011,P_PRO_A,Annual,2024-03-30,492,0.0,0.0,492.0,Success,,0,0
PAY0000084,S000012,C00012,P_BASIC_M,Monthly,2024-08-27,19,0.25,4.75,14.25,Success,,0,0
PAY0000085,S000012,C00012,P_BASIC_M,Monthly,2024-09-26,19,0.0,0.0,19.0,Success,,0,0
PAY0000086,S000012,C00012,P_BASIC_M,Monthly,2024-10-26,19,0.1,1.9,17.1,Success,,0,0
PAY0000087,S000012,C00012,P_BASIC_M,Monthly,2024-11-25,19,0.0,0.0,19.0,Success,,0,0
PAY0000088,S000012,C00012,P_BASIC_M,Monthly,2024-12-25,19,0.0,0.0,19.0,Success,,0,0
PAY0000089,S000013,C00013,P_BASIC_A,Annual,2024-03-08,192,0.2,38.4,153.6,Success,,0,0
PAY0000090,S000014,C00014,P_PRO_A,Annual,2023-02-02,492,0.0,0.0,492.0,Success,,0,0
PAY0000091,S000014,C00014,P_PRO_A,Annual,2024-02-02,492,0.0,0.0,492.0,Success,,0,0
PAY0000092,S000015,C00015,P_PRO_M,Monthly,2023-01-31,49,0.25,12.25,36.75,Success,,0,0
PAY0000093,S000015,C00015,P_PRO_M,Monthly,2023-03-02,49,0.0,0.0,49.0,Success,,0,0
PAY0000094,S000015,C00015,P_PRO_M,Monthly,2023-04-01,49,0.0,0.0,49.0,Success,,0,0
PAY0000095,S000015,C00015,P_PRO_M,Monthly,2023-05-01,49,0.0,0.0,49.0,Success,,0,0
PAY0000096,S000015,C00015,P_PRO_M,Monthly,2023-05-31,49,0.2,9.8,39.2,Success,,0,0
PAY0000097,S000015,C00015,P_PRO_M,Monthly,2023-06-30,49,0.0,0.0,49.0,Success,,0,0
PAY0000098,S000015,C00015,P_PRO_M,Monthly,2023-07-30,49,0.0,0.0,49.0,Success,,0,0
PAY0000099,S000015,C00015,P_PRO_M,Monthly,2023-08-29,49,0.0,0.0,49.0,Success,,0,0
PAY0000100,S000015,C00015,P_PRO_M,Monthly,2023-09-28,49,0.3,14.7,34.3,Success,,0,0
PAY0000101,S000015,C00015,P_PRO_M,Monthly,2023-10-28,49,0.0,0.0,49.0,Success,,0,0
PAY0000102,S000015,C00015,P_PRO_M,Monthly,2023-11-27,49,0.0,0.0,49.0,Success,,0,0
PAY0000103,S000015,C00015,P_PRO_M,Monthly,2023-12-27,49,0.5,24.5,24.5,Success,,0,0
PAY0000104,S000015,C00015,P_PRO_M,Monthly,2024-01-26,49,0.0,0.0,49.0,Success,,0,0
PAY0000105,S000015,C00015,P_PRO_M,Monthly,2024-02-25,49,0.0,0.0,49.0,Success,,0,0
PAY0000106,S000015,C00015,P_PRO_M,Monthly,2024-03-26,49,0.0,0.0,49.0,Success,,0,0
PAY0000107,S000015,C00015,P_PRO_M,Monthly,2024-04-25,49,0.0,0.0,49.0,Success,,0,0
PAY0000108,S000015,C00015,P_PRO_M,Monthly,2024-05-25,49,0.0,0.0,49.0,Success,,0,0
PAY0000109,S000015,C00015,P_PRO_M,Monthly,2024-06-24,49,0.1,4.9,44.1,Success,,0,0
PAY0000110,S000015,C00015,P_PRO_M,Monthly,2024-07-24,49,0.0,0.0,49.0,Success,,0,0
PAY0000111,S000015,C00015,P_PRO_M,Monthly,2024-08-23,49,0.1,4.9,44.1,Success,,0,0
PAY0000112,S000015,C00015,P_PRO_M,Monthly,2024-09-22,49,0.15,7.35,41.65,Success,,0,0
PAY0000113,S000015,C00015,P_PRO_M,Monthly,2024-10-22,49,0.0,0.0,49.0,Success,,0,0
PAY0000114,S000015,C00015,P_PRO_M,Monthly,2024-11-21,49,0.0,0.0,49.0,Success,,0,0
PAY0000115,S000015,C00015,P_PRO_M,Monthly,2024-12-21,49,0.0,0.0,49.0,Success,,0,0
PAY0000116,S000016,C00016,P_BUS_M,Monthly,2023-04-06,99,0.0,0.0,99.0,Success,,0,0
PAY0000117,S000016,C00016,P_BUS_M,Monthly,2023-05-06,99,0.0,0.0,99.0,Success,,0,0
PAY0000118,S000017,C00017,P_BASIC_M,Monthly,2023-08-12,19,0.0,0.0,19.0,Success,,0,0
PAY0000119,S000017,C00017,P_BASIC_M,Monthly,2023-09-11,19,0.0,0.0,19.0,Success,,0,0
PAY0000120,S000017,C00017,P_BASIC_M,Monthly,2023-10-11,19,0.0,0.0,19.0,Success,,0,0
PAY0000121,S000017,C00017,P_BASIC_M,Monthly,2023-11-10,19,0.0,0.0,19.0,Success,,0,0
PAY0000122,S000017,C00017,P_BASIC_M,Monthly,2023-12-10,19,0.0,0.0,19.0,Success,,0,0
PAY0000123,S000017,C00017,P_BASIC_M,Monthly,2024-01-09,19,0.2,3.8,15.2,Success,,0,0
PAY0000124,S000017,C00017,P_BASIC_M,Monthly,2024-02-08,19,0.15,2.85,16.15,Success,,0,0
PAY0000125,S000017,C00017,P_BASIC_M,Monthly,2024-03-09,19,0.3,5.7,13.3,Success,,0,0
PAY0000126,S000017,C00017,P_BASIC_M,Monthly,2024-04-08,19,0.0,0.0,19.0,Success,,0,0
PAY0000127,S000017,C00017,P_BASIC_M,Monthly,2024-05-08,19,0.3,5.7,13.3,Success,,0,0
PAY0000128,S000017,C00017,P_BASIC_M,Monthly,2024-06-07,19,0.5,9.5,9.5,Success,,0,0
PAY0000129,S000017,C00017,P_BASIC_M,Monthly,2024-07-07,19,0.0,0.0,19.0,Success,,0,0
PAY0000130,S000017,C00017,P_BASIC_M,Monthly,2024-08-06,19,0.2,3.8,15.2,Success,,0,0
PAY0000131,S000017,C00017,P_BASIC_M,Monthly,2024-09-05,19,0.0,0.0,19.0,Success,,0,0
PAY0000132,S000017,C00017,P_BASIC_M,Monthly,2024-10-05,19,0.0,0.0,19.0,Success,,0,0
PAY0000133,S000017,C00017,P_BASIC_M,Monthly,2024-11-04,19,0.3,5.7,13.3,Success,,0,0
PAY0000134,S000017,C00017,P_BASIC_M,Monthly,2024-12-04,19,0.3,5.7,13.3,Success,,0,0
PAY0000135,S000018,C00018,P_BASIC_A,Annual,2023-08-27,192,0.0,0.0,192.0,Success,,0,0
PAY0000136,S000018,C00018,P_BASIC_A,Annual,2024-08-26,192,0.1,19.2,172.8,Success,,0,0
